Committee,Link,Congress_Number
Agriculture,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Agriculture,113
Appropriations,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Appropriations,113
Armed Services,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Armed_Services,113
Budget,https://en.wikipedia.org/wiki/United_States_House_Committee_on_the_Budget,113
Education and the Workforce,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Education_and_the_Workforce,113
Energy and Commerce,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Energy_and_Commerce,113
Ethics,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Ethics,113
Financial Services,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Financial_Services,113
Foreign Affairs,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Foreign_Affairs,113
Homeland Security,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Homeland_Security,113
Chaplain,https://en.wikipedia.org/wiki/Chaplain_of_the_United_States_Senate,114
Curator,https://en.wikipedia.org/wiki/Curator_of_the_United_States_Senate,114
Librarian,https://en.wikipedia.org/wiki/United_States_Senate_Librarian,114
Historian,https://en.wikipedia.org/wiki/Historian_of_the_United_States_Senate,114
Parliamentarian,https://en.wikipedia.org/wiki/Parliamentarian_of_the_United_States_Senate,114
Secretary,https://en.wikipedia.org/wiki/Secretary_of_the_United_States_Senate,114
Sergeant at Arms,https://en.wikipedia.org/wiki/Sergeant_at_Arms_of_the_United_States_Senate,114
Secretary for the Majority,https://en.wikipedia.org/w/index.php?title=Secretary_for_the_Majority_of_the_United_States_Senate&action=edit&redlink=1,114
Secretary for the Minority,https://en.wikipedia.org/w/index.php?title=Secretary_for_the_Minority_of_the_United_States_Senate&action=edit&redlink=1,114
Chaplain,https://en.wikipedia.org/wiki/Chaplain_of_the_United_States_Senate,116
Historian,https://en.wikipedia.org/wiki/Historian_of_the_United_States_Senate,116
Parliamentarian,https://en.wikipedia.org/wiki/Parliamentarian_of_the_United_States_Senate,116
Secretary,https://en.wikipedia.org/wiki/Secretary_of_the_United_States_Senate,116
Sergeant at Arms,https://en.wikipedia.org/wiki/Sergeant_at_Arms_of_the_United_States_Senate,116
[9],https://en.wikipedia.org#cite_note-SenateLeadership-28,116
Gary B. Myrick,https://en.wikipedia.org/wiki/Gary_B._Myrick,116
